CEC2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionNo.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,Mean,Variance
21,6358.462529,6852.752026,6612.614594,4987.728388,3157.946131,4355.655711,4572.25135,8992.713653,6909.110549,5676.883554,5252.970335,4490.595616,7026.413876,6533.830447,2888.04328,4650.733735,4584.496389,7049.350032,3538.437317,6530.358321,6828.551215,5610.280674,11873.87259,5219.994774,5215.242475,7809.336806,8400.501074,5433.910479,5513.824236,8589.215464,7095.947037,10266.55536,4300.512826,4925.237874,11153.34287,4336.669327,12253.05072,8331.146906,4898.636328,6443.731894,3218.662045,5494.595294,6639.908838,6217.121562,3924.405648,4753.817641,3727.970407,5712.988288,4587.529045,4490.595616,6085.770063,4542535.722
22,2228.931641,2232.787144,2232.4751,2231.887213,2232.248664,2230.723042,2230.261156,2239.911477,2227.933078,2237.869174,2231.910217,2234.501346,2234.552196,2233.265463,2247.432138,2236.167422,2227.970269,2230.900465,2237.798091,2235.916969,2226.793577,2228.261385,2232.620367,2229.993614,2227.610603,2231.763804,2240.430059,2228.370482,2231.281623,2229.258476,2238.079535,2232.007957,2231.547048,2228.571108,2227.366191,2233.259388,2233.579848,2232.696463,2228.382602,2233.615232,2238.178313,2228.462828,2234.089415,2233.63081,2236.895,2231.971003,2230.349089,2235.147439,2230.271386,2234.501346,2232.688565,16.10781405
23,2666.041583,2667.080466,2675.351143,2700.103171,2666.327787,2699.221932,2700.238733,2700.679438,2668.905203,2666.047813,2700.541167,2690.431534,2666.771993,2665.591981,2674.316273,2665.770652,2700.933878,2700.231282,2700.185147,2700.57187,2693.895979,2666.653383,2665.980735,2665.78887,2666.278792,2691.58162,2686.760959,2687.154435,2681.415065,2665.757068,2666.373746,2669.59094,2697.393044,2665.765433,2700.068995,2666.508968,2697.829908,2696.442523,2671.743135,2665.780179,2666.066391,2666.016579,2670.170338,2665.968453,2665.803442,2700.038957,2665.828928,2669.151404,2698.100643,2690.431534,2680.03367,226.1623866
24,2507.834794,2507.859897,2508.088079,2600.559065,2505.479522,2508.59234,2511.302544,2506.798511,2507.147636,2505.971469,2506.289307,2514.637068,2504.847176,2507.59062,2508.059323,2507.191944,2515.119565,2508.937572,2511.365847,2507.004146,2510.503521,2507.130586,2507.230446,2510.282045,2513.036124,2510.662515,2507.391986,2509.247046,2509.997969,2507.016014,2506.947217,2515.965642,2507.967082,2507.359113,2506.862653,2509.265406,2508.118058,2506.099911,2507.383975,2506.8307,2505.906769,2507.121852,2508.179774,2506.549866,2509.33988,2504.285578,2506.328404,2506.100381,2600.444682,2514.637068,2512.097374,339.2792287
25,2700.223924,2700.268942,2700.154152,2700.160297,2700.260133,2700.957345,2700.493582,2700.195827,2700.7377,2700.942232,2700.909283,2700,2700.172693,2700.313491,2700.317998,2700.855995,2700.691356,2700.642034,2700.188367,2700.762794,2700.59636,2700.158653,2700,2700.779934,2700.21653,2700,2701.017136,2700.246038,2700.136734,2700.602941,2700.730593,2700.302133,2700.157997,2700.20966,2694.323443,2700.188663,2700.284113,2700.11762,2700,2700.439273,2700.301595,2700.28974,2700.238712,2700.145514,2700,2701.111333,2700.239345,2700.200586,2700,2700,2700.245656,0.833296906
26,2700.115347,2700.145966,2700.146457,2700.099626,2700.096296,2700.112486,2700.162718,2700.110027,2700.098945,2700.11683,2700.12144,2700.102613,2700.115467,2700.183483,2700.13875,2700.139887,2700.080359,2700.192002,2700.121811,2700.182767,2700.141064,2700.08443,2700.107073,2700.103945,2700.120716,2700.143034,2700.125638,2700.142873,2700.102571,2700.098924,2700.124091,2700.118994,2700.156047,2700.130106,2700.105799,2700.133828,2700.067972,2700.11669,2700.150209,2700.175005,2700.143414,2700.120627,2700.119612,2700.125054,2700.087943,2700.119027,2700.132569,2700.1497,2700.110898,2700.102613,2700.124875,0.000701747
27,3005.24247,3124.171316,3151.540541,3007.084919,3234.223427,3006.213234,3009.51654,3007.266077,3100.351546,3100.365948,3100.990079,3215.103759,3158.657042,3167.862394,3000.875015,3149.020736,3006.753835,3100.30695,3163.344549,3108.402763,3102.621967,3100.348132,3100.194677,3100.821504,3015.741004,3100.857448,3007.324078,3003.849527,3017.500084,3100.176689,3000.212745,3100.516133,3100.548124,3009.438787,3193.715488,3007.614906,3101.698709,3118.378484,3001.357448,3127.112553,3167.841757,3100.972597,3014.239179,3103.551487,3102.228808,3101.154938,3005.565145,3113.80637,3011.0503,3215.103759,3085.256719,4263.463867
28,3118.089726,3117.860774,3117.999606,3117.623145,3118.085125,3118.113129,3117.735166,3118.449902,3118.116727,3117.956733,3117.675965,3117.82386,3118.080915,3118.133082,3118.312816,3117.708783,3117.963775,3118.46546,3117.956773,3118.737163,3118.003198,3118.006745,3117.908354,3117.854654,3118.314111,3118.400368,3117.853191,3117.915503,3117.790911,3117.99185,3117.887065,3117.818819,3118.171575,3117.827978,3118.216018,3117.949853,3117.588575,3118.360701,3118.215469,3118.073241,3118.015343,3118.158899,3117.8203,3118.40949,3118.084375,3117.963799,3118.129824,3117.659666,3118.01701,3117.82386,3118.022387,0.057132798
29,3102.590939,3102.122498,3101.867585,3104.488837,3102.467709,3102.275094,3102.232602,3102.64304,3103.661011,3103.673122,3102.103963,3102.802124,3102.101517,3102.439302,3102.285106,3101.964888,3103.96958,3102.108745,3103.527852,3103.735438,3102.311803,3102.247504,3103.719582,3102.555225,3103.657483,3102.386714,3103.594412,3103.771233,3102.261976,3103.734441,3103.622848,3103.794468,3102.455565,3103.463943,3105.516979,3102.499443,3102.195368,3102.964142,3102.296752,3102.653638,3104.085305,3103.963803,3102.398567,3103.805829,3101.998798,3104.20279,3102.491061,3102.332726,3102.596439,3102.802124,3102.948838,0.680393577
30,3252.766313,3239.471997,3236.664578,3257.884372,3253.54058,3255.344007,3245.297179,3309.623322,3274.991575,3299.489282,3267.29913,3247.847138,3350.340816,3271.705506,3254.648693,3293.464581,3271.845876,3274.323572,3268.375806,3287.504231,3238.9488,3249.704622,3252.914594,3306.014662,3273.447998,3253.798365,3276.194289,3299.827992,3278.737466,3261.080953,3258.803501,3231.45667,3296.534432,3252.25322,3259.109592,3286.686288,3252.179246,3249.129085,3299.210014,3238.391662,3253.288682,3325.612575,3360.510132,3377.030688,3288.708496,3276.124993,3242.315037,3271.955018,3251.658107,3247.847138,3231.45667,995.0573635
